id,height,weight
A08095,2.81031696,57.606184
A08141,3.161284,136.0776
A08225,2.81031696,52.16308
A08230,2.89612324,68.0388
A08240,3.161284,88.45044
A08307,3.34450944,90.7184
A10002,3.25225156,79.3786
A10008,3.25225156,102.511792
A10037,3.07160676,59.874144
A10133,3.25225156,104.32616
A10157,3.161284,77.564232
A10165,3.07160676,101.151016
A10203,3.161284,88.904032
A10300,2.81031696,85.275296
A10307,3.25225156,74.84268
A10309,2.322576,91.625584
A10388,2.725801,75.749864
A10397,3.07160676,88.45044
A10398,2.89612324,60.781328
A10410,2.81031696,86.18248
A10413,2.81031696,83.91452
A10447,2.98321984,81.64656
A10459,3.25225156,70.30676
A10465,3.43805764,103.418976
A10480,2.89612324,65.77084
A10487,2.98321984,93.439952
A10506,2.98321984,68.945984
A10508,2.725801,122.016248
A10510,3.25225156,83.91452
A10514,3.161284,70.30676
A10574,2.81031696,77.11064
A10582,2.81031696,65.77084
A10628,2.81031696,63.50288
A10654,2.98321984,99.79024
A10656,2.56064004,65.77084
A10695,3.07160676,112.490816
A10763,3.161284,90.264808
A10859,3.25225156,104.32616
A10883,3.161284,81.64656
A10913,3.629025,85.728888
A10935,2.98321984,72.57472
A10936,2.89612324,57.152592
A10938,3.34450944,97.975872
A10939,3.53289616,117.93392
A10940,3.161284,90.7184
A10951,3.07160676,82.553744
A10970,3.07160676,90.7184
A11005,3.161284,117.026736
A11030,3.07160676,79.3786
A11128,2.98321984,68.0388
A15031,3.72644416,90.7184
A15096,2.81031696,86.18248
A15110,3.25225156,79.3786
A15155,3.43805764,91.625584
A15167,3.34450944,81.64656
A15172,3.161284,107.047712
A15182,3.07160676,86.18248
A15205,3.25225156,88.904032
A15210,3.161284,113.398
A15211,2.81031696,84.821704
A15212,2.89612324,68.0388
A15243,3.07160676,67.131616
A15306,3.07160676,96.161504
A15324,3.43805764,104.32616
A15336,3.161284,92.079176
A15347,3.07160676,111.13004
A15380,3.161284,95.25432
A15385,2.81031696,65.77084
A15421,3.53289616,83.91452
A15423,3.07160676,102.0582
A15491,3.34450944,101.604608
A15497,3.161284,73.481904
A15561,3.43805764,98.883056
A15580,2.81031696,99.79024
A15590,3.34450944,80.739376
A15602,2.81031696,68.0388
A15612,3.43805764,109.769264
A15639,3.25225156,80.285784
A15644,2.89612324,88.45044
A15655,2.64257536,61.23492
A15657,3.07160676,90.7184
A15702,3.07160676,70.30676
A15776,3.25225156,97.975872
A15810,3.25225156,69.853168
A15828,2.89612324,68.0388
A15829,3.25225156,65.77084
A15834,3.43805764,79.832192
A15856,3.629025,106.59412
A20093,3.34450944,81.64656
A20097,3.07160676,79.3786
A25050,3.07160676,68.0388
A25088,3.07160676,80.285784
A25100,3.43805764,104.32616
A25160,2.89612324,78.471416
A25186,3.629025,74.389088
A25193,3.34450944,106.59412
A26050,2.725801,59.874144
A50005,3.34450944,68.0388
A50013,3.629025,95.25432
A50089,2.98321984,60.781328
A50119,2.98321984,106.59412
A50173,3.07160676,70.30676
A50191,3.07160676,90.7184
A50207,2.98321984,91.625584
A50229,3.25225156,100.243832
A50273,3.07160676,88.45044
A50321,2.89612324,62.595696
A50324,3.34450944,102.0582
A50330,3.161284,88.904032
A50367,2.89612324,73.028312
A50446,3.25225156,86.18248
A50517,3.25225156,167.82904
A50585,3.161284,83.91452
A50669,3.161284,65.317248
A50676,3.25225156,99.79024
A50692,3.25225156,93.439952
A50716,3.07160676,72.57472
A50773,3.161284,89.811216
A50779,3.34450944,79.3786
A50844,3.07160676,96.615096
A50947,3.07160676,83.91452
A50955,3.07160676,106.59412
A50993,2.98321984,83.91452
A51054,2.89612324,77.11064
A51082,2.81031696,97.52228
A51149,3.161284,79.3786
A51174,2.98321984,73.935496
A51196,3.25225156,87.089664
A51233,2.725801,93.893544
A51236,3.34450944,81.64656
A51240,3.07160676,72.57472
A51322,3.25225156,79.3786
A51344,3.07160676,83.91452
A51368,3.629025,124.7378
A51372,2.98321984,81.64656
A51378,3.07160676,95.25432
A56009,2.98321984,83.91452
A56059,3.43805764,90.7184
A56081,2.89612324,77.11064
A56106,3.161284,75.296272
A56131,3.161284,90.7184
A56136,3.07160676,86.18248
A57708,3.43805764,104.32616
A57711,3.53289616,95.25432
A57980,3.161284,70.30676
A60034,3.161284,97.52228
A60077,2.725801,68.0388
A60096,3.161284,107.501304
A60121,3.72644416,92.98636
A60138,3.07160676,102.965384
A60145,3.34450944,81.64656
A60152,2.89612324,102.511792
A60158,2.98321984,73.028312
A60166,3.07160676,98.883056
A60185,3.25225156,81.64656
A60203,3.25225156,78.017824
A60218,3.161284,86.18248
A60224,3.34450944,88.45044
A60247,3.07160676,77.11064
A60264,3.43805764,81.64656
A60269,3.629025,102.0582
A60334,3.53289616,95.25432
A60338,3.25225156,102.0582
A60349,3.07160676,79.832192
A60369,3.07160676,58.96696
A60441,3.34450944,76.203456
A60451,3.34450944,86.18248
A60478,2.81031696,113.398
A60491,2.98321984,107.047712
A60514,3.43805764,114.305184
A60700,3.43805764,88.45044
A60767,3.25225156,90.7184
A60810,3.07160676,83.91452
A60835,3.34450944,77.564232
A60862,3.25225156,79.832192
A60879,3.25225156,92.98636
A60881,3.43805764,86.18248
A60925,3.34450944,95.25432
A60952,3.07160676,112.944408
A60972,2.98321984,87.089664
A61010,3.161284,78.925008
A61038,2.89612324,72.121128
A61070,3.53289616,83.91452
A61104,2.98321984,78.017824
A61136,2.725801,62.595696
A61175,2.725801,73.028312
A61187,2.89612324,74.84268
A61191,2.81031696,100.697424
A61248,3.25225156,112.944408
A61254,2.89612324,72.57472
A61270,3.25225156,103.418976
A61441,3.25225156,65.77084
A61492,3.25225156,83.91452
A61541,3.25225156,77.564232
A61543,3.25225156,88.45044
A61589,2.89612324,73.935496
A61629,2.89612324,88.45044
A61667,3.43805764,104.32616
A61683,2.81031696,81.64656
A61697,2.89612324,78.925008
A61719,3.43805764,77.11064
A61721,3.34450944,102.0582
A61897,2.98321984,72.57472
A61982,3.161284,72.57472
A62093,2.98321984,67.131616
A62143,3.25225156,58.96696
A62145,3.161284,77.11064
A62152,2.81031696,65.77084
A62183,2.89612324,82.100152
A62222,3.25225156,81.64656
A62260,2.89612324,79.3786
A62278,2.725801,72.57472
A62372,3.34450944,82.100152
A62475,3.25225156,68.0388
A62508,2.98321984,78.471416
A62511,3.161284,81.192968
A62585,2.89612324,72.121128
A62613,3.629025,92.532768
A62670,2.81031696,106.140528
A62674,2.81031696,79.3786
A62676,2.98321984,70.30676
A62696,3.161284,84.368112
A62709,2.81031696,68.945984
A62835,3.161284,83.91452
A62838,3.07160676,82.553744
A62907,3.43805764,88.45044
A63018,2.98321984,75.749864
A63055,3.161284,74.84268
A63057,2.725801,90.7184
A63074,3.629025,151.95332
A63079,3.07160676,117.026736
A63110,3.53289616,108.86208
A63227,3.161284,109.315672
A63302,3.161284,71.667536
A63323,3.25225156,70.760352
A63335,3.82515364,120.20188
A63412,3.34450944,75.749864
A63416,2.81031696,94.347136
A63465,3.07160676,106.59412
A63522,3.25225156,83.91452
A63557,3.43805764,90.7184
A63589,3.25225156,119.294696
A63633,3.07160676,73.935496
A63684,2.89612324,83.91452
A63742,3.34450944,95.25432
A63871,2.725801,78.017824
A63882,3.34450944,75.296272
A63900,3.53289616,83.91452
A63927,3.53289616,92.079176
A64002,2.89612324,103.872568
A64004,3.25225156,81.64656
A64023,3.34450944,70.760352
A64030,2.725801,88.904032
A64086,2.89612324,77.11064
A64188,3.161284,77.11064
A64206,3.34450944,98.883056
A64229,2.98321984,99.79024
A64235,2.89612324,97.975872
A64246,2.81031696,58.513368
A64284,2.89612324,70.30676
A64313,3.34450944,83.91452
A64333,3.07160676,77.11064
A64349,2.725801,76.203456
A64363,3.34450944,79.3786
A66045,3.43805764,87.089664
A66171,2.89612324,69.399576
A66229,2.89612324,73.028312
A66267,2.89612324,84.368112
A66271,3.25225156,92.98636
A66320,2.98321984,72.57472
A66400,3.07160676,90.7184
A66460,3.07160676,70.30676
A66464,2.322576,70.30676
A66488,3.161284,89.811216
A66507,2.98321984,74.389088
A67856,3.25225156,81.64656
A67942,3.25225156,73.028312
A68069,3.07160676,77.11064
A68106,3.34450944,90.264808
A68230,3.25225156,106.59412
A68344,3.43805764,116.573144
A68363,2.89612324,92.532768
A68398,3.629025,96.615096
A68418,3.161284,95.25432
A68566,2.725801,70.760352
A68643,2.89612324,79.3786
A68647,2.81031696,58.96696
A68718,3.161284,74.84268
A68728,3.34450944,136.0776
A68809,3.161284,93.439952
A68864,2.64257536,70.30676
A68998,3.72644416,88.45044
A69036,3.161284,70.30676
A69051,3.07160676,77.11064
A69085,3.25225156,97.975872
A70164,2.56064004,68.0388
A70170,3.07160676,81.64656
A70187,2.81031696,67.585208
A70206,3.25225156,68.945984
A70208,3.161284,68.945984
A70223,3.43805764,92.98636
A70269,2.89612324,77.11064
A70296,2.98321984,82.100152
A70343,3.25225156,97.52228
A70453,3.07160676,100.243832
A70454,3.43805764,90.7184
A70470,3.07160676,99.79024
A70481,3.07160676,70.30676
A70554,3.161284,70.30676
A70562,3.43805764,122.923432
A70571,3.34450944,91.625584
A70618,3.161284,96.615096
A70631,3.161284,123.830616
A70646,2.64257536,79.832192
A70703,3.161284,77.11064
A70723,3.07160676,92.98636
A70764,2.81031696,80.739376
A70777,2.89612324,83.91452
A70866,3.07160676,65.77084
A70869,3.161284,68.0388
A70889,2.56064004,56.699
A70902,2.98321984,104.779752
A70905,3.07160676,83.91452
A70975,2.98321984,68.0388
A70978,3.161284,84.368112
A70983,3.161284,81.192968
A70990,3.34450944,78.017824
A70998,3.25225156,74.389088
A71033,2.81031696,58.96696
A71068,3.161284,83.91452
A71082,2.98321984,77.11064
A71170,3.07160676,83.91452
A71250,3.34450944,90.264808
A71259,3.34450944,61.23492
A71264,2.98321984,72.57472
A71350,3.25225156,95.25432
A71362,3.161284,72.57472
A71429,3.53289616,95.25432
A71437,3.53289616,90.7184
A71467,3.25225156,134.263232
A71517,3.34450944,97.52228
A71530,3.53289616,90.7184
A71537,3.25225156,99.79024
A71641,3.34450944,91.625584
A71662,3.25225156,120.20188
A71709,3.43805764,84.821704
A71724,3.34450944,104.32616
A71739,3.25225156,147.4174
A71810,3.07160676,72.57472
A71812,3.161284,77.11064
A71818,3.07160676,72.57472
A71904,3.07160676,81.64656
A71978,3.25225156,81.64656
A72030,3.34450944,91.171992
A72037,3.07160676,79.3786
A72063,3.25225156,73.481904
A72077,2.98321984,88.45044
A72086,3.43805764,102.0582
A72098,2.81031696,104.32616
A72103,3.25225156,86.18248
A72120,3.07160676,89.811216
A72149,3.07160676,67.131616
A72159,3.25225156,76.203456
A72194,3.161284,80.285784
A72308,2.81031696,77.11064
A72335,3.25225156,108.86208
A72502,3.43805764,108.86208
A72503,3.43805764,99.79024
A72531,2.725801,56.245408
A72590,3.43805764,92.98636
A72640,2.98321984,99.336648
A72649,3.629025,123.830616
A72655,2.98321984,71.667536
A72676,3.25225156,66.678024
A72823,2.98321984,73.481904
A72830,2.81031696,68.492392
A72922,2.81031696,54.43104
A72965,3.161284,78.017824
A73023,2.725801,95.25432
A73059,3.25225156,77.11064
A73078,2.98321984,98.429464
A73099,2.98321984,75.749864
A73184,3.34450944,81.64656
A73193,2.98321984,80.739376
A73327,3.43805764,112.944408
A73335,2.89612324,73.935496
A73403,3.07160676,73.935496
A73437,3.53289616,113.398
A73452,3.53289616,105.233344
A73489,3.34450944,73.481904
A73498,3.07160676,104.32616
A73504,3.34450944,75.296272
A73555,3.34450944,90.7184
A73587,3.07160676,89.811216
A73626,3.34450944,81.64656
A73639,3.25225156,104.32616
A73673,3.43805764,108.86208
A73679,3.07160676,90.7184
A73734,2.725801,56.699
A73738,3.25225156,122.923432
A73756,3.07160676,79.3786
A73764,2.98321984,92.079176
A73769,3.07160676,98.429464
A73818,3.161284,81.64656
A73846,2.89612324,74.84268
A73865,3.34450944,77.564232
A73943,3.161284,83.007336
A74022,2.89612324,95.25432
A74048,3.43805764,92.98636
A74099,2.98321984,78.925008
A74128,2.98321984,72.57472
A74131,2.81031696,83.91452
A74143,3.25225156,92.98636
A74146,3.72644416,100.697424
A74207,2.81031696,72.57472
A74220,3.07160676,59.874144
A76000,2.98321984,80.285784
A76082,3.53289616,81.64656
A76086,3.07160676,70.30676
A76117,2.98321984,106.59412
A76118,2.725801,73.935496
A76140,3.25225156,108.86208
A76273,3.07160676,77.564232
A76278,3.34450944,98.883056
A76285,2.56064004,68.0388
A77022,2.81031696,99.79024
A77521,3.53289616,108.408488
A77551,3.25225156,88.45044
A77585,3.07160676,72.57472
A77600,3.161284,96.161504
A77652,3.53289616,99.79024
A77719,3.43805764,99.79024
A77744,3.34450944,70.760352
A77854,2.89612324,68.945984
A77883,2.81031696,83.91452
A77912,2.64257536,95.25432
A77947,3.161284,73.935496
A78002,3.25225156,73.935496
A78072,3.07160676,79.3786
A78111,3.43805764,83.91452
A78128,3.07160676,72.57472
A78222,3.72644416,81.192968
A78301,2.89612324,76.203456
A78306,2.725801,61.688512
A78488,3.25225156,93.439952
A78522,2.98321984,90.7184
A78639,2.98321984,68.0388
A80048,3.53289616,93.439952
A80094,3.25225156,87.996848
A80123,3.34450944,108.86208
A80194,3.161284,86.18248
A80196,3.25225156,96.615096
A80201,2.81031696,94.347136
A80204,3.43805764,77.11064
A80212,2.81031696,81.64656
A80215,3.82515364,71.667536
A80221,2.98321984,102.0582
A80252,2.98321984,108.86208
A80254,3.34450944,93.893544
A80264,3.07160676,72.57472
A80360,3.07160676,124.284208
A80442,2.98321984,90.7184
A80477,3.34450944,88.45044
A80517,3.07160676,93.439952
A80528,3.07160676,91.625584
A80529,2.89612324,72.57472
A80533,3.25225156,72.57472
A80568,3.161284,100.697424
A80582,2.89612324,117.480328
A80609,3.07160676,95.25432
A80610,3.34450944,90.7184
A80640,3.07160676,95.25432
A80665,3.53289616,83.91452
A80675,2.89612324,59.874144
A80693,3.25225156,72.57472
A80710,2.89612324,72.57472
A80761,3.53289616,104.32616
A80811,3.161284,79.3786
A80814,3.07160676,83.91452
A80834,3.43805764,83.460928
A80915,3.53289616,108.408488
A80929,3.07160676,79.832192
A81024,3.161284,78.925008
A81091,3.07160676,73.481904
A81099,3.25225156,71.667536
A81100,2.89612324,68.0388
A81126,2.725801,63.50288
A81135,3.25225156,74.84268
A81170,3.43805764,85.728888
A81377,2.89612324,66.678024
A81381,2.89612324,99.79024
A81401,3.25225156,78.017824
A81442,2.89612324,92.98636
A81444,3.07160676,71.213944
A81457,2.81031696,80.739376
A81553,2.725801,108.86208
A81563,3.43805764,104.32616
A81574,3.07160676,99.79024
A81630,2.725801,61.688512
A81636,3.629025,149.68536
A81652,3.82515364,74.84268
A81692,2.725801,81.64656
A81704,2.98321984,76.203456
A81716,2.89612324,77.11064
A81754,3.25225156,95.25432
A81775,2.81031696,86.18248
A81779,3.53289616,84.821704
A81783,3.161284,86.18248
A81795,3.07160676,72.57472
A81804,3.161284,88.45044
A81811,3.25225156,87.996848
A81850,2.89612324,72.57472
A81855,3.161284,89.357624
A81889,3.629025,90.7184
A81893,3.43805764,78.017824
A81921,3.25225156,92.98636
A81938,3.34450944,75.749864
A81991,3.34450944,81.64656
A82017,2.98321984,74.84268
A82077,3.161284,81.64656
A82091,3.07160676,86.18248
A82092,3.161284,86.18248
A82134,3.25225156,74.84268
A82169,3.25225156,81.64656
A82180,2.81031696,74.84268
A82195,3.34450944,83.91452
A82197,3.161284,90.264808
A82254,3.161284,78.925008
A82291,3.82515364,97.068688
A82300,3.25225156,86.636072
A82318,2.98321984,99.79024
A82333,2.81031696,114.758776
A82357,3.43805764,143.335072
A82405,2.81031696,90.264808
A82455,2.98321984,78.925008
A82458,2.98321984,79.3786
A82498,2.98321984,69.399576
A82509,3.25225156,80.285784
A82547,3.07160676,117.026736
A82558,3.34450944,94.347136
A82579,2.98321984,130.180904
A82580,3.53289616,108.86208
A82598,2.89612324,72.57472
A82609,3.161284,81.64656
A82642,3.25225156,97.52228
A82721,2.98321984,91.171992
A82768,2.98321984,83.91452
A82771,2.89612324,90.7184
A82774,2.89612324,95.25432
A82791,2.98321984,71.213944
A82847,3.25225156,90.7184
A82875,2.725801,58.96696
A82899,3.161284,79.3786
A82902,3.34450944,63.50288
A82903,3.25225156,81.64656
A82914,3.161284,111.13004
A82944,3.34450944,72.57472
A82951,3.43805764,95.25432
A82968,2.725801,74.84268
A82978,2.89612324,72.57472
A82981,3.34450944,87.996848
A82994,3.72644416,113.398
A83003,3.07160676,86.18248
A83031,3.161284,104.32616
A83037,3.07160676,74.84268
A83069,3.34450944,77.11064
A83084,2.725801,85.275296
A83094,3.25225156,89.811216
A83101,3.34450944,99.79024
A83118,3.161284,81.64656
A83163,2.64257536,81.64656
A83165,3.07160676,72.57472
A83166,3.53289616,106.59412
A83208,3.25225156,102.0582
A83241,2.725801,58.96696
A83281,3.43805764,83.91452
A83283,2.89612324,83.91452
A83284,3.34450944,91.625584
A83293,3.07160676,90.7184
A83302,3.161284,78.925008
A83338,2.89612324,79.3786
A83344,3.07160676,66.678024
A83405,2.725801,70.30676
A83427,3.25225156,97.068688
A83437,2.81031696,58.96696
A83508,2.89612324,64.410064
A83550,3.629025,91.171992
A83581,3.07160676,95.25432
A83608,2.89612324,77.11064
A83613,2.81031696,81.64656
A83622,3.25225156,99.79024
A83630,3.43805764,81.64656
A83664,2.89612324,120.20188
A83673,2.89612324,100.697424
A83711,3.161284,83.91452
A83722,2.81031696,96.161504
A83746,3.07160676,103.872568
A83748,3.07160676,102.0582
A83808,3.43805764,108.408488
A83817,3.161284,111.13004
A83822,2.89612324,72.57472
A83855,3.07160676,81.64656
A83856,2.89612324,90.7184
A83907,3.43805764,90.7184
A83913,2.98321984,94.347136
A83946,2.725801,82.553744
A85068,3.161284,83.91452
A86028,3.25225156,98.883056
A86063,3.07160676,97.52228
A86071,3.161284,94.347136
A86099,3.161284,81.64656
A86226,3.07160676,67.131616
A86258,3.07160676,113.398
A86277,3.25225156,68.0388
A87092,2.64257536,74.389088
A87116,2.56064004,72.121128
A87167,2.81031696,82.553744
A87634,2.81031696,90.7184
A87730,2.98321984,107.954896
A87828,3.34450944,90.7184
A87851,3.07160676,70.30676
A87924,2.725801,59.874144
A87981,3.34450944,77.11064
A87996,3.72644416,88.45044
A88000,3.25225156,81.64656
A88018,3.629025,98.429464
A88072,3.07160676,83.007336
A88090,2.98321984,68.0388
A88099,3.53289616,110.676448
A88114,3.25225156,95.25432
A88180,3.43805764,88.45044
A88255,2.98321984,65.77084
A88425,2.98321984,65.77084
A88447,3.07160676,94.347136
A88460,3.25225156,102.0582
A90087,2.89612324,84.368112
A90145,3.161284,77.11064
A90171,3.629025,95.25432
A90185,3.161284,92.98636
A90240,3.07160676,95.25432
A90268,3.43805764,108.86208
A90315,2.89612324,72.57472
A90333,3.25225156,99.79024
A90344,3.07160676,83.91452
A90392,3.25225156,79.3786
A90409,2.98321984,83.91452
A90420,3.161284,81.64656
A90478,2.89612324,72.57472
A90485,3.25225156,73.935496
A90506,2.98321984,79.3786
A90510,3.629025,52.616672
A90513,2.81031696,93.893544
A90532,3.72644416,81.64656
A90577,3.34450944,86.18248
A90592,3.43805764,95.25432
A90608,2.725801,101.151016
A90663,3.07160676,88.904032
A90706,2.89612324,68.0388
A90720,2.81031696,88.904032
A90733,2.98321984,104.32616
A90770,3.53289616,95.25432
A90846,2.89612324,97.52228
A90860,3.34450944,127.00576
A90868,3.25225156,92.079176
A90881,2.725801,76.203456
A90903,3.53289616,102.0582
A90911,3.07160676,90.7184
A90937,3.07160676,90.7184
A90949,2.81031696,103.872568
A90976,2.89612324,63.50288
A90986,3.07160676,72.57472
A91016,3.25225156,87.543256
A91040,3.161284,108.86208
A91041,2.81031696,63.50288
A91082,3.25225156,91.171992
A91177,3.72644416,108.86208
A91213,3.07160676,83.91452
A91250,2.89612324,88.45044
A91256,3.34450944,81.64656
A91307,3.43805764,86.18248
A91362,3.07160676,96.161504
A91375,2.98321984,86.18248
A91381,3.07160676,106.59412
A91399,3.43805764,115.66596
A91433,2.725801,57.606184
A91437,3.43805764,99.336648
A91478,3.161284,102.0582
A91487,3.34450944,98.883056
A91495,3.161284,79.3786
A91509,2.89612324,74.84268
A91518,2.56064004,79.832192
A91584,2.89612324,68.0388
A91609,3.161284,99.79024
A91619,2.81031696,77.11064
A91687,3.07160676,74.389088
A91717,3.07160676,68.0388
A91769,2.81031696,83.91452
A91775,2.98321984,67.131616
A91779,3.25225156,92.98636
A91784,3.07160676,113.398
A91791,2.81031696,83.91452
A91793,2.98321984,76.203456
A91814,2.81031696,85.728888
A91815,3.53289616,90.7184
A91837,2.81031696,88.45044
A91846,3.07160676,68.0388
A91848,3.34450944,78.925008
A91885,3.07160676,73.481904
A91970,3.43805764,85.275296
A91992,3.07160676,90.7184
A91993,2.64257536,78.017824
A92021,3.07160676,70.30676
A92033,2.98321984,84.821704
A92080,3.161284,113.398
A92120,3.43805764,115.212368
A92127,3.07160676,65.77084
A92146,3.34450944,99.79024
A92178,2.89612324,102.511792
A92207,2.81031696,54.43104
A92240,2.98321984,90.264808
A92275,3.161284,117.026736
A92280,3.161284,97.52228
A92299,3.43805764,90.7184
A92318,2.725801,56.699
A92381,3.07160676,100.243832
A92410,3.161284,98.429464
A92424,2.81031696,65.77084
A92426,3.25225156,99.79024
A92428,2.81031696,92.532768
A92472,3.25225156,94.800728
A92474,3.34450944,122.46984
A92482,2.81031696,98.429464
A92551,2.89612324,82.100152
A92579,3.34450944,77.11064
A92623,2.89612324,56.245408
A92661,2.47999504,54.43104
A92662,3.161284,92.98636
A92750,2.98321984,81.64656
A92800,3.25225156,77.11064
A92816,3.25225156,70.760352
A92828,3.25225156,86.18248
A92877,3.43805764,88.45044
A92888,2.98321984,86.18248
A92903,3.34450944,70.30676
A92929,3.82515364,108.86208
A92942,3.34450944,90.7184
A92945,3.07160676,77.564232
A92974,3.161284,89.357624
A93015,3.07160676,72.57472
A93033,3.43805764,96.161504
A93039,2.89612324,64.863656
A93053,2.64257536,63.50288
A93067,3.43805764,97.52228
A93071,3.43805764,89.357624
A93080,2.64257536,95.25432
A93094,3.161284,94.800728
A93108,3.07160676,89.357624
A93136,3.25225156,84.821704
A93184,2.81031696,68.0388
A93199,2.81031696,74.389088
A93211,3.07160676,72.57472
A93232,2.81031696,92.98636
A93248,2.725801,70.30676
A93251,3.07160676,90.7184
A93266,2.89612324,77.11064
A93267,3.25225156,96.161504
A93270,3.34450944,97.068688
A93275,3.07160676,70.30676
A93280,3.72644416,122.46984
A93333,2.89612324,74.84268
A93339,3.07160676,74.389088
A93421,3.07160676,91.625584
A93441,3.07160676,86.18248
A93480,2.725801,70.30676
A93489,3.161284,92.98636
A93501,3.25225156,88.45044
A93524,3.07160676,92.98636
A93553,2.89612324,91.625584
A93570,3.34450944,76.203456
A93573,3.161284,113.398
A93601,2.98321984,85.728888
A93650,3.07160676,78.471416
A93664,2.98321984,81.64656
A93676,2.98321984,81.64656
A93696,3.25225156,88.45044
A93699,3.34450944,97.52228
A93734,2.98321984,68.0388
A93747,3.34450944,97.52228
A93754,3.07160676,90.7184
A93755,3.25225156,102.0582
A95046,2.89612324,72.57472
A96043,3.161284,97.52228
A96044,3.07160676,95.25432
A96072,3.07160676,74.84268
A96092,3.25225156,95.25432
A96128,3.43805764,104.779752
A96174,3.34450944,94.347136
A96180,3.53289616,95.25432
A96214,3.34450944,95.25432
A96270,3.25225156,127.912944
A97512,3.34450944,98.883056
A97519,3.82515364,127.00576
A97532,3.53289616,102.0582
A97536,3.25225156,83.91452
A97665,3.53289616,74.84268
A97723,4.02644356,99.79024
A97772,3.25225156,77.11064
A97785,3.161284,72.57472
A97801,2.98321984,79.3786
A97808,2.98321984,131.54168
A97828,3.07160676,73.935496
A97884,3.34450944,94.347136
A97885,3.34450944,107.047712
A97917,2.89612324,56.699
A98155,2.725801,122.46984
A98206,2.81031696,86.18248
A98222,3.25225156,72.57472
A98232,3.43805764,86.18248
A98333,2.98321984,88.45044
A98347,3.25225156,77.11064
B00002,3.07160676,74.84268
B00018,2.89612324,65.77084
B00040,3.53289616,64.863656
B00045,3.43805764,72.57472
B00050,3.07160676,81.64656
B00077,3.161284,104.32616
B00094,3.43805764,135.624008
B00118,2.89612324,72.121128
B00124,2.98321984,99.79024
B00131,3.72644416,102.965384
B00149,2.98321984,72.57472
B00160,2.81031696,90.7184
B00161,2.81031696,74.84268
B00203,3.53289616,117.93392
B00206,3.43805764,111.583632
B00208,2.98321984,87.089664
B00217,3.34450944,106.59412
B00230,2.725801,108.86208
B00255,3.25225156,97.52228
B00270,3.53289616,108.86208
B00284,3.25225156,62.595696
B00291,3.43805764,122.46984
B00296,3.53289616,81.64656
B00298,2.81031696,92.079176
B00315,3.53289616,97.52228
B00327,3.07160676,102.0582
B00347,2.64257536,70.30676
B00358,2.47999504,58.96696
B00368,3.161284,90.7184
B00375,3.43805764,90.7184
B00387,3.161284,110.222856
B00398,2.725801,63.50288
B00447,3.25225156,104.32616
B00466,3.161284,82.553744
B00481,3.43805764,122.46984
B00489,2.81031696,81.64656
B00492,3.25225156,102.0582
B00496,3.43805764,95.25432
B00499,2.64257536,91.625584
B00510,3.34450944,99.79024
B00528,2.98321984,83.91452
B00538,3.07160676,91.625584
B00562,2.81031696,72.57472
B00573,3.43805764,117.93392
B00578,2.64257536,64.863656
B00591,2.89612324,91.171992
B00592,2.81031696,72.57472
B00611,2.98321984,86.18248
B00613,3.43805764,86.18248
B00618,2.89612324,86.18248
B00627,2.89612324,91.625584
B00632,2.89612324,86.18248
B00643,3.43805764,95.25432
B00651,2.89612324,88.45044
B00659,3.25225156,99.79024
B00663,2.81031696,79.832192
B00691,3.07160676,83.91452
